"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12"
NA,"NOTCH2NL",NA,NA,"ARL4D","VKORC1",NA,NA,NA,"SAP18",NA,"CEP170","OAT"
NA,"CD302",NA,NA,"SPRYD3","OAF",NA,NA,NA,"FGFR1",NA,"EMILIN2","SRPK2"
NA,"EHD2",NA,NA,"RNASE4","METTL7A",NA,NA,NA,"ZNF503",NA,"AC132872.2","MCM5"
NA,"NPTN",NA,NA,"ATP6AP2","SLC44A1",NA,NA,NA,"PTTG1",NA,"RALB","EHBP1"
NA,"TCEAL3",NA,NA,"QSOX1","PTPRA",NA,NA,NA,"HEXB",NA,"VASP","SLC12A2"
NA,"RUNX1T1",NA,NA,"FKBP9","AHNAK",NA,NA,NA,"KPNA2",NA,"KDM6B","C1orf63"
NA,"PRKCDBP",NA,NA,"XBP1","PRKCDBP",NA,NA,NA,"MARCKSL1",NA,"IER5","IRF1"
NA,"CSGALNACT1",NA,NA,"IL11RA","SFRP4",NA,NA,NA,"SETD5-AS1",NA,"DIAPH1","ABCA1"
NA,"LRRC58",NA,NA,"COMT","EGR1",NA,NA,NA,"LITAF",NA,"ATP6V0D1","ADO"
NA,"ANO6",NA,NA,"UGP2","DUT",NA,NA,NA,"HN1",NA,"SELL","SLC41A1"
NA,"C1orf122",NA,NA,"SSR3","DHRS3",NA,NA,NA,"ACLY",NA,"LGALS1","ZNF738"
NA,"TMEM50A",NA,NA,"HLF","JUN",NA,NA,NA,"PARD3",NA,"CSK","NFKB1"
NA,"ASAP2",NA,NA,"ANXA7","CCL19",NA,NA,NA,"POLR2A",NA,"HBA1","MAMLD1"
NA,"RSU1",NA,NA,"LDHA","SPARC",NA,NA,NA,"ZBTB10",NA,"CHCHD10","RP11-430G17.3"
NA,"IMPDH2",NA,NA,"GUSB","TUBB",NA,NA,NA,"DRAP1",NA,"LIMD2","GADD45A"
NA,"H1F0",NA,NA,"CHST12","PTTG1",NA,NA,NA,"CYCS",NA,"HSPH1","DMXL1"
NA,"COX6A1",NA,NA,"CNIH4",NA,NA,NA,NA,"MLLT4",NA,"CDC42SE2","PHLDA1"
NA,"TECR",NA,NA,"MPZL1",NA,NA,NA,NA,"UGDH",NA,"CD97","SGK1"
NA,"BBX",NA,NA,"BAMBI",NA,NA,NA,NA,"PDIA3",NA,"NAGK","MT-ND6"
NA,"BNIP3L",NA,NA,"GOLGA2",NA,NA,NA,NA,"ABCA5",NA,"PNPLA6","AUH"
NA,"MRPS21",NA,NA,"MAP4",NA,NA,NA,NA,"RAN",NA,"PPP1CA","BACH1"
NA,"PURA",NA,NA,"TMED9",NA,NA,NA,NA,"EHBP1L1",NA,"MT-CYB","LGI4"
NA,"CRIM1",NA,NA,"SYNE1",NA,NA,NA,NA,"ARF4",NA,"NFKB2","MMP17"
NA,"NDUFS4",NA,NA,"GJA1",NA,NA,NA,NA,"HSPA8",NA,"CD52","RP11-245J9.6"
NA,"SPATS2L",NA,NA,"ARHGEF10",NA,NA,NA,NA,"MCL1",NA,"WIPF1","TEX14"
NA,"CCDC71L",NA,NA,"EPDR1",NA,NA,NA,NA,"AP006222.2",NA,"MT-ND2","TFAP2C"
NA,"NABP1",NA,NA,"SIL1",NA,NA,NA,NA,"HIST1H1C",NA,"ATP6V1H","UBE2B"
NA,"CYR61",NA,NA,"SURF4",NA,NA,NA,NA,"COX6C",NA,"SLC18B1","LGALS1"
NA,"CCND1",NA,NA,"ADAM33",NA,NA,NA,NA,"JDP2",NA,"CPEB4","CADM3"
NA,NA,NA,NA,"NDUFA4L2",NA,NA,NA,NA,"WDR45",NA,"MAFG","ATXN7"
NA,NA,NA,NA,"CAPN1",NA,NA,NA,NA,"PLK2",NA,"SIRPA","CMC2"
NA,NA,NA,NA,"RNF130",NA,NA,NA,NA,"SAT1",NA,"CYLD","GPSM1"
NA,NA,NA,NA,"NQO2",NA,NA,NA,NA,"ADAMTSL4",NA,"KIAA1033","FAM211B"
NA,NA,NA,NA,"TMED10",NA,NA,NA,NA,"VAMP2",NA,"RAB32","AHSA2"
NA,NA,NA,NA,"TRIM47",NA,NA,NA,NA,"CHD3",NA,"CBX4","NFATC1"
NA,NA,NA,NA,"PTPRA",NA,NA,NA,NA,"ARHGAP12",NA,"SCNM1","MAP2K3"
NA,NA,NA,NA,"NANS",NA,NA,NA,NA,"SPIN1",NA,"ARHGEF1","NOLC1"
NA,NA,NA,NA,"IDS",NA,NA,NA,NA,"GATAD1",NA,"UBB","ATAD3B"
NA,NA,NA,NA,"CBX5",NA,NA,NA,NA,"UXS1",NA,"ZYX","VAPA"
NA,NA,NA,NA,"PGRMC1",NA,NA,NA,NA,"ADM",NA,"SH3BGRL","GNAI1"
NA,NA,NA,NA,"PRSS23",NA,NA,NA,NA,"DDAH2",NA,"MPDU1","RP11-513I15.6"
NA,NA,NA,NA,"CAPN2",NA,NA,NA,NA,"HMGN2",NA,"SNHG12","CHEK2"
NA,NA,NA,NA,"REEP3",NA,NA,NA,NA,"IVNS1ABP",NA,"DNAJB6","PPP1R10"
NA,NA,NA,NA,"ATP5J2",NA,NA,NA,NA,"PDS5B",NA,"SYNGR2","FZD7"
NA,NA,NA,NA,"UBA1",NA,NA,NA,NA,"SESN3",NA,"PLBD1","NABP1"
NA,NA,NA,NA,"TMEM106C",NA,NA,NA,NA,"CASC4",NA,"H2AFY","SLC44A1"
NA,NA,NA,NA,"ZNF593",NA,NA,NA,NA,"NUCKS1",NA,"RAP2B","HSP90B1"
NA,NA,NA,NA,"LAMB2",NA,NA,NA,NA,"SLC44A1",NA,"SPTY2D1","C6orf62"
NA,NA,NA,NA,"CYTH3",NA,NA,NA,NA,"EFNB2",NA,"CHORDC1","CAPRIN2"
NA,NA,NA,NA,"CAST",NA,NA,NA,NA,"SRSF6",NA,"STX7","DEDD2"
NA,NA,NA,NA,"SLC38A10",NA,NA,NA,NA,"TMX4",NA,"CAT","ARIH2OS"
NA,NA,NA,NA,"DNAJC3",NA,NA,NA,NA,"KLF4",NA,"FUCA2","LINC00685"
NA,NA,NA,NA,"EEA1",NA,NA,NA,NA,"NDUFC1",NA,"ETF1","MRPL44"
NA,NA,NA,NA,"TRAM1",NA,NA,NA,NA,"PEAK1",NA,"TFRC","RHEB"
NA,NA,NA,NA,"TUBB2B",NA,NA,NA,NA,"CTSF",NA,"MAPRE1","RP11-91J19.4"
NA,NA,NA,NA,"TNFRSF12A",NA,NA,NA,NA,"CDK2AP2",NA,"ATP6AP1","RP11-83B20.1"
NA,NA,NA,NA,"PINK1",NA,NA,NA,NA,"IDI1",NA,"EIF4E","LRRC4"
NA,NA,NA,NA,"VDAC1",NA,NA,NA,NA,"SFT2D1",NA,"HSPA9","SHCBP1"
NA,NA,NA,NA,"OGDH",NA,NA,NA,NA,"HEPH",NA,"SEPT6","FNBP1"
NA,NA,NA,NA,"SCARF2",NA,NA,NA,NA,"KLHL21",NA,"ARPC5","ZDHHC8"
NA,NA,NA,NA,"MAP7D3",NA,NA,NA,NA,"CYTH3",NA,"CD55","TTC21B"
NA,NA,NA,NA,"ERGIC1",NA,NA,NA,NA,"NR3C1",NA,"EIF4A3","MIDN"
NA,NA,NA,NA,"OAZ1",NA,NA,NA,NA,"NPTN",NA,"CHML","PPP1R15A"
NA,NA,NA,NA,"PHLDA2",NA,NA,NA,NA,"RFTN2",NA,"CAB39","CDK19"
NA,NA,NA,NA,"CTTN",NA,NA,NA,NA,"ARL6IP1",NA,"ZNF655","SOX6"
NA,NA,NA,NA,"PDIA3",NA,NA,NA,NA,"JUNB",NA,"ADRB2","PTRH2"
NA,NA,NA,NA,"C1orf21",NA,NA,NA,NA,"MXD1",NA,"DRAM2","H2AFJ"
NA,NA,NA,NA,"P4HA1",NA,NA,NA,NA,"EBPL",NA,"NANS","AHSA1"
NA,NA,NA,NA,"PTP4A2",NA,NA,NA,NA,"GADD45B",NA,"OSER1","SAP18"
NA,NA,NA,NA,"HIVEP1",NA,NA,NA,NA,"APP",NA,"UBC","SLC38A2"
NA,NA,NA,NA,"FAM127A",NA,NA,NA,NA,"NDRG2",NA,"YPEL5","KPNA2"
NA,NA,NA,NA,"DAP",NA,NA,NA,NA,"PJA2",NA,"ZFAND2A","MARCH1"
NA,NA,NA,NA,"TXNL4A",NA,NA,NA,NA,"MTCH1",NA,"PEPD","ZNF791"
NA,NA,NA,NA,"DPP7",NA,NA,NA,NA,"PDE1A",NA,"ATP6V0A1","PTPRS"
NA,NA,NA,NA,"TMED4",NA,NA,NA,NA,"AP3S1",NA,"AGPAT9","MDM4"
NA,NA,NA,NA,"TMX4",NA,NA,NA,NA,"WLS",NA,"SGK3","ST6GALNAC2"
NA,NA,NA,NA,"CD164",NA,NA,NA,NA,"HEXIM1",NA,"SLC12A9","FOSB"
NA,NA,NA,NA,"FGF18",NA,NA,NA,NA,"ZFP36",NA,"ZC3H18","CALR"
NA,NA,NA,NA,"HEXB",NA,NA,NA,NA,"BCR",NA,"SRA1","CERS4"
NA,NA,NA,NA,"ABL1",NA,NA,NA,NA,"NUFIP2",NA,"IQGAP1","HNRNPK"
NA,NA,NA,NA,"OLFML2A",NA,NA,NA,NA,"BTG1",NA,"CXCL1","ARL6IP1"
NA,NA,NA,NA,"PLTP",NA,NA,NA,NA,"MARCH6",NA,"SFT2D2","CTA-293F17.1"
NA,NA,NA,NA,"GARS",NA,NA,NA,NA,"ZHX3",NA,"MXD1","RAB40B"
NA,NA,NA,NA,"HCFC1R1",NA,NA,NA,NA,"KPNA3",NA,"SETD5-AS1","TCF7"
NA,NA,NA,NA,"NCOR2",NA,NA,NA,NA,"NEU1",NA,"RP1-313I6.12","MCOLN3"
NA,NA,NA,NA,"SETD7",NA,NA,NA,NA,"IDS",NA,"PLXNB2","IDI1"
NA,NA,NA,NA,"SEC61G",NA,NA,NA,NA,"ZBTB20",NA,"VEGFA","YME1L1"
NA,NA,NA,NA,"ABLIM1",NA,NA,NA,NA,"CXCL2",NA,"MIR155HG","INTU"
NA,NA,NA,NA,"TK2",NA,NA,NA,NA,"TMED2",NA,"STK32C","SBNO1"
NA,NA,NA,NA,"PSMD14",NA,NA,NA,NA,"SLC1A5",NA,"MYLIP","LRAT"
NA,NA,NA,NA,"LRPAP1",NA,NA,NA,NA,"YBX3",NA,"RTN4","GAL3ST1"
NA,NA,NA,NA,"BHLHE41",NA,NA,NA,NA,"MAGED2",NA,"SETDB2","SLC22A17"
NA,NA,NA,NA,"RBPJ",NA,NA,NA,NA,"MZT2A",NA,"PLD3","LAMB1"
NA,NA,NA,NA,"C1orf122",NA,NA,NA,NA,"ODC1",NA,"INPPL1","HNRNPH2"
NA,NA,NA,NA,"ATL3",NA,NA,NA,NA,"LHFP",NA,"AMD1","ZNF276"
NA,NA,NA,NA,"PALLD",NA,NA,NA,NA,"NOLC1",NA,"AP2S1","RGS10"
NA,NA,NA,NA,"SFT2D1",NA,NA,NA,NA,"ACSL3",NA,"TWF2","C7orf50"
NA,NA,NA,NA,"CTGF",NA,NA,NA,NA,"CTBP1",NA,"ZSWIM6","CHL1"
NA,NA,NA,NA,"FAM50A",NA,NA,NA,NA,"INTS6",NA,"ABRACL","CYCS"
NA,NA,NA,NA,"NDUFAF2",NA,NA,NA,NA,"LGALSL",NA,"MAT2A","ARID5A"
NA,NA,NA,NA,"LINC00478",NA,NA,NA,NA,"PMAIP1",NA,"ANXA1","CD55"
NA,NA,NA,NA,"SAR1B",NA,NA,NA,NA,"PNRC1",NA,"H2AFZ","STAT3"
NA,NA,NA,NA,"ACTG1",NA,NA,NA,NA,"CTSL",NA,"DUSP3","CMTM6"
NA,NA,NA,NA,"CYR61",NA,NA,NA,NA,"SGK1",NA,"TRA2B","NINJ1"
NA,NA,NA,NA,"SEP15",NA,NA,NA,NA,"APPL1",NA,"PER1","IGF2BP2"
NA,NA,NA,NA,"ANAPC11",NA,NA,NA,NA,"EPB41L4A-AS1",NA,"ABCA1","ERF"
NA,NA,NA,NA,"CTSL",NA,NA,NA,NA,"MYL12B",NA,"ACTR3","HLA-DOB"
NA,NA,NA,NA,"HSBP1",NA,NA,NA,NA,"TP53I3",NA,"CARD16","GRM2"
NA,NA,NA,NA,"UBE2K",NA,NA,NA,NA,"TIPARP",NA,"JMJD6","CUEDC2"
NA,NA,NA,NA,"ARHGDIA",NA,NA,NA,NA,"FBXO33",NA,"RAB7A","RAN"
NA,NA,NA,NA,"TMEM59",NA,NA,NA,NA,"TMEM106B",NA,"YWHAZ","ADAMTS9-AS2"
NA,NA,NA,NA,"KIFAP3",NA,NA,NA,NA,"FCGRT",NA,"MAP2K3","TJP2"
NA,NA,NA,NA,"RABGAP1L",NA,NA,NA,NA,"PHB",NA,"C12orf45","LAMP2"
NA,NA,NA,NA,"AMFR",NA,NA,NA,NA,"SPON2",NA,"ATP2B1","ORC6"
NA,NA,NA,NA,"EVA1B",NA,NA,NA,NA,"BZW1",NA,"ADRBK1","NEU1"
NA,NA,NA,NA,"SGCA",NA,NA,NA,NA,"SNAI1",NA,"TPT1","PTTG1"
NA,NA,NA,NA,"TSC22D3",NA,NA,NA,NA,"CERS6",NA,"OSTF1","ODC1"
NA,NA,NA,NA,"SULF1",NA,NA,NA,NA,"PTN",NA,"VOPP1","HEY1"
NA,NA,NA,NA,"C12orf23",NA,NA,NA,NA,"EIF4A1",NA,"GLRX","RENBP"
NA,NA,NA,NA,"TMEM208",NA,NA,NA,NA,"SDCBP",NA,"MAPKAPK2","RYBP"
NA,NA,NA,NA,"CFL2",NA,NA,NA,NA,"NTN4",NA,"IVNS1ABP","TJP1"
NA,NA,NA,NA,"PRKCDBP",NA,NA,NA,NA,"KDSR",NA,"SETX","FLCN"
NA,NA,NA,NA,"CREB3L2",NA,NA,NA,NA,"ING1",NA,"MLXIP","UBE2E3"
NA,NA,NA,NA,"ACSL3",NA,NA,NA,NA,"GMFB",NA,"ATG16L2","HNRNPA2B1"
NA,NA,NA,NA,"ATP6V0E1",NA,NA,NA,NA,"DDIT3",NA,"SLC25A33","MIS12"
NA,NA,NA,NA,"CBR3",NA,NA,NA,NA,"C7orf50",NA,"TCIRG1","RHBDF1"
NA,NA,NA,NA,"MANF",NA,NA,NA,NA,"PSPC1",NA,"ATP5E","MEG3"
NA,NA,NA,NA,"MT1M",NA,NA,NA,NA,"DUT",NA,"DAB2","HEXIM1"
NA,NA,NA,NA,"ZCCHC24",NA,NA,NA,NA,"AASDHPPT",NA,"C14orf80","BTAF1"
NA,NA,NA,NA,"CADM3",NA,NA,NA,NA,"ISYNA1",NA,"NFKBIE","FOS"
NA,NA,NA,NA,"TXN",NA,NA,NA,NA,"MED29",NA,"ATP5J2","ILF2"
NA,NA,NA,NA,"SRM",NA,NA,NA,NA,"NCOR2",NA,"PLTP","CBX4"
NA,NA,NA,NA,"GYPC",NA,NA,NA,NA,"PER3",NA,"STMN1","RP11-107N15.1"
NA,NA,NA,NA,"CASC4",NA,NA,NA,NA,"SEC63",NA,"PDE4B","AKR1B1"
NA,NA,NA,NA,"RAB2A",NA,NA,NA,NA,"CALR",NA,"CRIP1","POLR2A"
NA,NA,NA,NA,"RPN2",NA,NA,NA,NA,"ZC3HAV1",NA,"CDK6","CKS2"
NA,NA,NA,NA,"DEGS1",NA,NA,NA,NA,"ZFP36L2",NA,"RNF13","MTURN"
NA,NA,NA,NA,"RHOB",NA,NA,NA,NA,"FOXC1",NA,"DPP7","HMGCS1"
NA,NA,NA,NA,"STK38L",NA,NA,NA,NA,"PRDX1",NA,"ARL6IP1","EIF3J"
NA,NA,NA,NA,"TMED7",NA,NA,NA,NA,"PRDX4",NA,"ILF3-AS1","TUBB4B"
NA,NA,NA,NA,"ASPH",NA,NA,NA,NA,"RSBN1L",NA,"MT-ND5","LRRC58"
NA,NA,NA,NA,"ITM2B",NA,NA,NA,NA,"KATNA1",NA,"USP36","MORF4L2"
NA,NA,NA,NA,"PRDX1",NA,NA,NA,NA,"ZFYVE16",NA,"SRGAP2","CYR61"
NA,NA,NA,NA,"TMED2",NA,NA,NA,NA,"CKS2",NA,"GTF2B","BTBD3"
NA,NA,NA,NA,"PSMA7",NA,NA,NA,NA,"FAM115A",NA,"SFPQ","GPBP1"
NA,NA,NA,NA,"COPE",NA,NA,NA,NA,"ZFAND5",NA,"CTSD","PARP1"
NA,NA,NA,NA,"S100A13",NA,NA,NA,NA,"ZC3H6",NA,"FXYD5","MAPKAPK2"
NA,NA,NA,NA,"OS9",NA,NA,NA,NA,"COL15A1",NA,"CAP1","TAF7"
NA,NA,NA,NA,"GLUD1",NA,NA,NA,NA,"MAPRE1",NA,"OAS1","SLITRK2"
NA,NA,NA,NA,"SPARC",NA,NA,NA,NA,"NFKBIZ",NA,"DDX5","SIK1"
NA,NA,NA,NA,"RBMS1",NA,NA,NA,NA,"IRF1",NA,"NOTCH2","STARD13"
NA,NA,NA,NA,"COPB1",NA,NA,NA,NA,"TOB2",NA,"INSIG1","FGF7"
NA,NA,NA,NA,"KLC1",NA,NA,NA,NA,"ITGB4",NA,"ZFHX3","ING2"
NA,NA,NA,NA,"RTN3",NA,NA,NA,NA,"FERMT2",NA,"SOD2","F3"
NA,NA,NA,NA,"AES",NA,NA,NA,NA,"CXCL1",NA,"EIF4A1","NFKB2"
NA,NA,NA,NA,"JTB",NA,NA,NA,NA,"RBM43",NA,"NFKBIA","FAM63B"
NA,NA,NA,NA,"LAPTM4A",NA,NA,NA,NA,"ADD1",NA,"NCOA4","ITPK1"
NA,NA,NA,NA,"RNF13",NA,NA,NA,NA,"C3orf58",NA,"FAM133B","POLR3D"
NA,NA,NA,NA,"SAMD4B",NA,NA,NA,NA,"CCL2",NA,"PDE4DIP","SLC3A2"
NA,NA,NA,NA,"DHRS7",NA,NA,NA,NA,"MRPS6",NA,"PGLS","SCD"
NA,NA,NA,NA,"ILK",NA,NA,NA,NA,"C1QTNF1",NA,"ME2","RBM39"
NA,NA,NA,NA,"FKBP2",NA,NA,NA,NA,"NCOA1",NA,"PARL","ZFP64"
NA,NA,NA,NA,"DAB2",NA,NA,NA,NA,"CETN3",NA,"CYB5D1","ZSCAN30"
NA,NA,NA,NA,"TTC3",NA,NA,NA,NA,"PIGK",NA,"CFLAR","ZNF331"
NA,NA,NA,NA,"TUBB6",NA,NA,NA,NA,"TMED10",NA,"AC093673.5","CNTN1"
NA,NA,NA,NA,"MRPL41",NA,NA,NA,NA,"GEM",NA,"ZFYVE16","SLC20A2"
NA,NA,NA,NA,"TM2D1",NA,NA,NA,NA,"SRRM2",NA,"ARF6","LPAR1"
NA,NA,NA,NA,"PSMD7",NA,NA,NA,NA,"C12orf65",NA,"PRPF38B","PDCD4-AS1"
NA,NA,NA,NA,"TMCO1",NA,NA,NA,NA,"ALDH3A2",NA,"GGA1","AMD1"
NA,NA,NA,NA,"SUN2",NA,NA,NA,NA,"CDKN2AIP",NA,"TUBA1C","AC016831.7"
NA,NA,NA,NA,"PCMT1",NA,NA,NA,NA,"C19orf10",NA,"LRCH4","TLN2"
NA,NA,NA,NA,"BRD7",NA,NA,NA,NA,"PLD3",NA,"FKBP4","KRAS"
NA,NA,NA,NA,"GTF2H5",NA,NA,NA,NA,"SEPT9",NA,"FES","NUP98"
NA,NA,NA,NA,"MPG",NA,NA,NA,NA,"PFKFB3",NA,"MT-ND1","IAH1"
NA,NA,NA,NA,"GEM",NA,NA,NA,NA,NA,NA,"CYCS","ZSWIM6"
NA,NA,NA,NA,"APRT",NA,NA,NA,NA,NA,NA,"TNFRSF1B","FBXL19-AS1"
NA,NA,NA,NA,"SPCS2",NA,NA,NA,NA,NA,NA,"MAP3K2","RP11-727F15.9"
NA,NA,NA,NA,"PSMC3",NA,NA,NA,NA,NA,NA,"AHSA2","RTKN"
NA,NA,NA,NA,"SAR1A",NA,NA,NA,NA,NA,NA,"DBNL","EPC1"
NA,NA,NA,NA,"CORO1C",NA,NA,NA,NA,NA,NA,"CLEC2B","SLC9A3R1"
NA,NA,NA,NA,"TAX1BP3",NA,NA,NA,NA,NA,NA,"ANPEP","C11orf58"
NA,NA,NA,NA,"TRIP10",NA,NA,NA,NA,NA,NA,"HNRNPU","CNN3"
NA,NA,NA,NA,"SEC61B",NA,NA,NA,NA,NA,NA,"SAMD1","ZBTB43"
NA,NA,NA,NA,"IAH1",NA,NA,NA,NA,NA,NA,"TMEM8A","ZFAS1"
NA,NA,NA,NA,"PGAM1",NA,NA,NA,NA,NA,NA,"ANKRD12","LRIF1"
NA,NA,NA,NA,"TRIO",NA,NA,NA,NA,NA,NA,"SELT","RBBP6"
NA,NA,NA,NA,"CDC5L",NA,NA,NA,NA,NA,NA,"EIF3A","AL627171.2"
NA,NA,NA,NA,"PSMB1",NA,NA,NA,NA,NA,NA,"PIAS2","SYN3"
NA,NA,NA,NA,"CHCHD2",NA,NA,NA,NA,NA,NA,"DRAP1","VMP1"
NA,NA,NA,NA,"FAM46A",NA,NA,NA,NA,NA,NA,"EZH2","SENP5"
NA,NA,NA,NA,"SEC63",NA,NA,NA,NA,NA,NA,"ABCA6","ISG20"
NA,NA,NA,NA,"MPC2",NA,NA,NA,NA,NA,NA,"LDLRAD4","AMFR"
NA,NA,NA,NA,"LRP10",NA,NA,NA,NA,NA,NA,"PRPF40A","CEBPD"
NA,NA,NA,NA,"PSMB6",NA,NA,NA,NA,NA,NA,"DYNLL2","TRAK1"
NA,NA,NA,NA,"SLC29A1",NA,NA,NA,NA,NA,NA,"BNIP3L","CUX1"
NA,NA,NA,NA,"NTN4",NA,NA,NA,NA,NA,NA,"RP11-386I14.4","SRSF5"
NA,NA,NA,NA,"OPTN",NA,NA,NA,NA,NA,NA,"TUBB4B","GGCT"
NA,NA,NA,NA,"GNB2",NA,NA,NA,NA,NA,NA,"PTK2B","FBXO2"
NA,NA,NA,NA,"BLOC1S1",NA,NA,NA,NA,NA,NA,"RNU12","MTHFR"
NA,NA,NA,NA,"PPFIBP1",NA,NA,NA,NA,NA,NA,"EHD1","BRD2"
NA,NA,NA,NA,"ARL3",NA,NA,NA,NA,NA,NA,"GADD45G","ANKRD37"
NA,NA,NA,NA,"PRDX5",NA,NA,NA,NA,NA,NA,"AHR","RBMXL1"
NA,NA,NA,NA,"MESDC2",NA,NA,NA,NA,NA,NA,"ZBTB1","PLXDC2"
NA,NA,NA,NA,"YWHAZ",NA,NA,NA,NA,NA,NA,"TSPO","MAT2A"
NA,NA,NA,NA,"MINOS1",NA,NA,NA,NA,NA,NA,"FNIP2","OSBPL1A"
NA,NA,NA,NA,"ESD",NA,NA,NA,NA,NA,NA,"MOB1A","LMNA"
NA,NA,NA,NA,"STUB1",NA,NA,NA,NA,NA,NA,"FUS","FLRT3"
NA,NA,NA,NA,"C19orf60",NA,NA,NA,NA,NA,NA,"TCP1","DCBLD2"
NA,NA,NA,NA,"PDCD5",NA,NA,NA,NA,NA,NA,"ATP1B3","USP6NL"
NA,NA,NA,NA,"TMEM230",NA,NA,NA,NA,NA,NA,"AKNA","BROX"
NA,NA,NA,NA,"SSR1",NA,NA,NA,NA,NA,NA,"HSP90AA1","TMEM66"
NA,NA,NA,NA,"HNRNPAB",NA,NA,NA,NA,NA,NA,"RNF145","H3F3B"
NA,NA,NA,NA,"TAGLN2",NA,NA,NA,NA,NA,NA,"NUDT3","HNRNPU-AS1"
NA,NA,NA,NA,"VAT1",NA,NA,NA,NA,NA,NA,"NIPBL","KDSR"
NA,NA,NA,NA,"CD109",NA,NA,NA,NA,NA,NA,"SERPINB1","NAF1"
NA,NA,NA,NA,"TNNT3",NA,NA,NA,NA,NA,NA,"UBAC2","PITHD1"
NA,NA,NA,NA,"ATP2B1",NA,NA,NA,NA,NA,NA,"PPP1R15A","LIN52"
NA,NA,NA,NA,"DAD1",NA,NA,NA,NA,NA,NA,"SLC4A3","SSFA2"
NA,NA,NA,NA,"REEP5",NA,NA,NA,NA,NA,NA,"SLC3A2","GOSR1"
NA,NA,NA,NA,"KDELR1",NA,NA,NA,NA,NA,NA,"JOSD1","KLF9"
NA,NA,NA,NA,"DRAP1",NA,NA,NA,NA,NA,NA,"ENO1","POGK"
NA,NA,NA,NA,"NDUFA13",NA,NA,NA,NA,NA,NA,"S100A11","PPP4R2"
NA,NA,NA,NA,"RAB7A",NA,NA,NA,NA,NA,NA,"PLIN2","PHLDA3"
NA,NA,NA,NA,"HSP90B1",NA,NA,NA,NA,NA,NA,"TWISTNB","SYNGR1"
NA,NA,NA,NA,"SERPINB6",NA,NA,NA,NA,NA,NA,"ARPC1B",NA
NA,NA,NA,NA,"PODN",NA,NA,NA,NA,NA,NA,"USP15",NA
NA,NA,NA,NA,"MYL6",NA,NA,NA,NA,NA,NA,"HIPK1",NA
NA,NA,NA,NA,"MORF4L1",NA,NA,NA,NA,NA,NA,"TANK",NA
NA,NA,NA,NA,"DLC1",NA,NA,NA,NA,NA,NA,"MEF2A",NA
NA,NA,NA,NA,"EID1",NA,NA,NA,NA,NA,NA,"FKBP5",NA
NA,NA,NA,NA,"TMBIM4.1",NA,NA,NA,NA,NA,NA,"PNRC1",NA
NA,NA,NA,NA,"TMSB4X",NA,NA,NA,NA,NA,NA,"NAMPT",NA
NA,NA,NA,NA,"PARK7",NA,NA,NA,NA,NA,NA,"MEF2C",NA
NA,NA,NA,NA,"CD151",NA,NA,NA,NA,NA,NA,"WSB1",NA
NA,NA,NA,NA,"FAM177A1",NA,NA,NA,NA,NA,NA,"SLC12A7",NA
NA,NA,NA,NA,"ATP5H",NA,NA,NA,NA,NA,NA,"CCND2",NA
NA,NA,NA,NA,"KIF5B",NA,NA,NA,NA,NA,NA,"STX4",NA
NA,NA,NA,NA,"SBDS",NA,NA,NA,NA,NA,NA,"CLTC",NA
NA,NA,NA,NA,"KLF3",NA,NA,NA,NA,NA,NA,"ZFAND5",NA
NA,NA,NA,NA,"NDUFS5",NA,NA,NA,NA,NA,NA,"HSPA8",NA
NA,NA,NA,NA,"USMG5",NA,NA,NA,NA,NA,NA,"DR1",NA
NA,NA,NA,NA,"AHI1",NA,NA,NA,NA,NA,NA,"COMT",NA
NA,NA,NA,NA,"TM9SF3",NA,NA,NA,NA,NA,NA,"FUOM",NA
NA,NA,NA,NA,"POLR2L",NA,NA,NA,NA,NA,NA,"LRIF1",NA
NA,NA,NA,NA,"C10orf54",NA,NA,NA,NA,NA,NA,"C7orf73",NA
NA,NA,NA,NA,"EIF5A",NA,NA,NA,NA,NA,NA,"PHF20L1",NA
NA,NA,NA,NA,"ROMO1",NA,NA,NA,NA,NA,NA,"USP10",NA
NA,NA,NA,NA,"MTDH",NA,NA,NA,NA,NA,NA,"HSPA5",NA
NA,NA,NA,NA,"SFRP1",NA,NA,NA,NA,NA,NA,"N4BP2",NA
NA,NA,NA,NA,"TPI1",NA,NA,NA,NA,NA,NA,"ZNF503",NA
NA,NA,NA,NA,"MRFAP1",NA,NA,NA,NA,NA,NA,"CD164",NA
NA,NA,NA,NA,"GABARAPL2",NA,NA,NA,NA,NA,NA,"HIF1A",NA
NA,NA,NA,NA,"OSTC",NA,NA,NA,NA,NA,NA,"MIR22HG",NA
NA,NA,NA,NA,"DPYSL2",NA,NA,NA,NA,NA,NA,"UVRAG",NA
NA,NA,NA,NA,"NFIA",NA,NA,NA,NA,NA,NA,"TMUB1",NA
NA,NA,NA,NA,"GALNT15",NA,NA,NA,NA,NA,NA,"ZDHHC1",NA
NA,NA,NA,NA,"DYNLRB1",NA,NA,NA,NA,NA,NA,"AKAP13",NA
NA,NA,NA,NA,"MEOX2",NA,NA,NA,NA,NA,NA,"TLE4",NA
NA,NA,NA,NA,"HSPA5",NA,NA,NA,NA,NA,NA,"CIB1",NA
