"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12"
"UPP1","CSRNP3","IL6ST","ENPP2","TPPP3","EPB41L2","CD8B","NT5DC2","TOMM7","FOXS1","CYTIP","PIK3AP1","ANK3"
"ELK3","RRAD","TNFSF10","CAV2","C1QTNF2","GSN","DPP4","MAP1B","LSM3","CNTN4","TNF","FCGBP","HSPA12A"
"SNHG7","C2orf40","PLAT","PDCD4","PDPN","EPHB2","TMEM45A","NPY1R","PRDX2","PAK3","SP140","CD300A","SNCA"
"HSPE1","PRR24","SPTBN1","RHOC","GPRC5A","SDC2","SERPING1","ID2","NACA","BNC2","XCL1","LRRC25","ARHGAP39"
"RPL26","RASL11A","PLXND1","GLUL","PPP1R14C","DCLK1","RARG","EFHD1","PET100","COL9A3","SLA","KCNQ1","SBSPON"
"HLA-DQA2","SLIT3","S100A16","CRIP2","ADAMTSL4","APOC1","TNMD","UBA2","RPS7","RARRES2","KLRG1","IQGAP2","PPT2-EGFL8"
"ITGA6","COL6A2","NKTR","MSX1","CAPG","NOVA1","MT1E","MYLK","UQCRB","ADAMTSL5","STK17B","RTN1","ADAP1"
"DDX3X","GUCY1A3","LRRFIP1","RUNDC3B","LOXL1","SEPP1","CYBRD1","MGST3","PSMB4","ATP1A2","HDC","BCL2A1","GAS7"
"MAP1LC3B","CDH6","SH3BGRL2","CAPZA2","THBS3","TMEM119","DKK3","EDNRA","SOD3","FZD1","GCSAML","ARRB2","NT5DC3"
"NSUN6","ARHGAP6","FAM198B","HLA-E","CERCAM","SULT1A1","SFRP4","TMEM51","PGK1","ALDH1A1","MYO1G","HCK","DEPDC1B"
"ADCY4","GPR116","ACTN1","GIMAP7","CFD","PI16","C2orf40","CLMN","TIMP1","COL8A1","PARP8","CLEC5A","MPP6"
"MARCKSL1","COL6A3","CFI","PIK3R3","CKB","PID1","EZR","FXYD1","UBA52","AKAP12","RAB27B","LAT2","RGCC"
"JUN","TPPP3","TIE1","TCF4","PENK","BGN","THBS1","MT-CO1","LUM","NLGN1","CAMK4","PARVG","LINC00844"
"VMP1","LRRC17","LYST","RASGRF2","CAMK1D","SNAI2","PLCD3","ADIRF","GSTP1","RASSF2","APOBR","DAPP1","HMGA2"
"RPL32","EMX2","SMAD1","IER2","CCDC80","FLRT2","CHPF","MYL6","GAPDH","MEG3","PAG1","SLA","GLDC"
"RNASE1","OLFM2","MT-ND1","DUSP1","TNFRSF11B","MAP1B","PTGIS","ISYNA1","MYL9","EBF2","ZNF831","IL1RN","PPP1R1C"
"MGST2","PCOLCE","SLC44A2","HBEGF","PRRX2","PLAC9","NTRK2","NCS1","RPL18","BMP8B","ZBP1","TNF","FAM222A"
"LRRC1","PLN","MMRN1","PLLP","PROCR","COL14A1","TNFRSF11B","IGFBP5","ATP5H","RP11-161M6.2","AC020571.3","MYO1G","FGFBP2"
"TSHZ2","MT1E","FABP5","SEPW1","JDP2","FXYD6","TIMP2","PPP2R2B","ADIRF","NRP2","RGS13","MNDA","RP11-352G9.1"
"IL3RA","EBF2","HLA-DPA1","XAF1","COL6A3","CAMK2N1","MT1M","NUDT4","PPIA","C19orf33","AC079767.4","NLRP3","ESRRG"
"LMCD1","FHL1","PALMD","TSC22D1","FABP3","FAM180B","WNT5B","GADD45B","RPL24","SHISA3","ARHGAP30","THEMIS2","RHOBTB3"
"SOX18","KANK2","SPHK1","EFNA1","NT5E","STMN2","ITGA10","ZFHX3","NUPR1","C2orf40","GPSM3","CLEC12A","ARHGAP19"
"TRIB1","PPP1R12B","LHX6","RGS3","CRISPLD1","CNTFR","SSR3","GUCY1B3","PDCD5","EZR","DOCK2","GLIPR1","SLC44A3"
"BIRC3","MT2A","CAPNS1","C10orf10","PDGFD","SRPX","CCDC3","BGN","PSMB5","CLEC11A","MBP","LAIR1","DOK6"
"PRCP","NDUFA4L2","COL15A1","MTUS1","CYBRD1","OSR1","NFIX","PPP1R12A","PGLS","FLRT2","LAT","SPINT2","SCRN1"
"MLPH","ATP1B2","GBP4","CCDC85B","GSN","PTPN13","CNTN3","FADS3","WDR83OS","INHBA","MS4A2","CX3CR1","CAHM"
"SNHG8","NDRG2","C10orf128","CRYBG3","NHSL1","TENM1","EMILIN1","LPP","NDUFAB1","PRKCA","PDCD1","ADAP2","MFAP3L"
"ADAMTS1","EFHD1","HEG1","CA4","AFF3","LPAR1","GALNT15","AOC3","PTMS","CDO1","TBX21","DOCK2","MAPK8IP1"
"RASA4","PTEN","LFNG","SYNE2","FAM179A","ADD3","LMO3","AKAP1","RPS4X","THBS1","BIN2","RAC2","CTNNAL1"
"FOS","ARHGAP1","SLCO2A1","COX17","COL12A1","DIO3OS","CDH11","ARC","CSDE1","KAL1","BCL2","SDS","IL17B"
"ADAM15","AOC3","PTPRM","NES","BAG2","EPHX1","TNS3","MT-ATP6","ZNHIT1","CYR61","C1orf186","GAPT","CYP19A1"
"CMIP","ITIH5","CPXM2","TM6SF1","PTPRS","PLA2G2A","PDE4DIP","SOD3","THBS4","CES1","CMA1","RNASET2","IQGAP2"
"TNFSF10","TNC","DPYSL2","SNHG7","RP11-14N7.2","RHOBTB3","ITGBL1","TOB1","MOCS2","CRISPLD2","PRDM1","SH3BP1","CRYAB"
"MCL1","COL6A1","APP","SDC3","ANXA2","PIK3R1","SERPINI1","FLNA","MFAP4","LRP1","CCR7","ST18","GFRA1"
"SDCBP","SMARCD3","C1orf115","ATP5J","KCNIP3","VEGFA","LMO7","HEXIM1","CUTA","PKDCC","RP3-477O4.14","TNFSF8","CNP"
"HLA-B","PRSS35","SNCG","MMRN2","S100A4","EMP3","FOXP4","IRX2","UFC1","SCUBE2","FGD3","CLEC4A","CLIP4"
"CCNL1","GUCY1B3","TESC","SEC14L1","KDELR3","NID2","LINC00478","TINAGL1","MRPL51","UCHL1","TSTD1","FCGR1A","PRIMA1"
"RPL37","A1BG","HLA-C","SOX7","PLAC9","HSD11B1","CTSK","ID4","C8orf59","PEG3","GNG2","MYO1F","FXYD6"
"PERP","CLMN","HLA-DPB1","ACTN4","FNDC5","GLT8D2","NAV2","SH3BGRL","MYOC","BMPR1B","ARHGAP9","VENTX","RP11-582J16.5"
"GRASP","S100A4","PDE2A","S1PR1","ZNF385A","GPC4","TTN","TSC22D1","NDUFC1","PHACTR3","KIT","S100A9","GFRA3"
"ARL4A","C1QTNF1","PREX2","MRPL33","SDC2","SGCD","PPAP2B","MT-ND4","FKBP2","ST3GAL4","STAT4","CFP","PLEKHA4"
"ID1","ARHGEF25","GRN","TNK2","GPSM2","CST3","ADAMTSL2","PDE3A","RPL23","ROR1","POU2F2","GFRA2","PRRG3"
"PLSCR1","RNF152","ITM2B","CTTNBP2NL","COL3A1","C1QTNF4","CYP4B1","PRKG1","MT-CYB","SLC12A2","IL10RA","CYP2S1","SHROOM3"
"RAPGEF3","C1R","FZD4","ADAM15","LOXL3","SHISA3","PDGFRL","HCFC1R1","LAMTOR2","MAB21L1","GZMB","IL1A","NR4A3"
"NOSTRIN","COL1A2","EPHB4","FILIP1","S100A10","ANTXR2","SPINK2","ACTB","ALKBH7","GSTM3","RPS27","STXBP2","ALDH1A1"
"GIMAP1","AEBP1","MT-ND3","C8orf4","CRYAB","AGTR1","CD9","THBS1","OST4","DAPK2","BANK1","LILRA2","ST6GALNAC5"
"DLL1","PALLD","SYT15","MAP3K11","ITGB5","LTBP1","CLTB","PDGFA","ISCU","IL18","PIK3AP1","FMNL1","RP4-751H13.7"
"LAP3","C12orf57","ECE1","GATA2","CD55","COL5A2","LRRN4CL","SORT1","TMEM176A","AQP3","DOK2","CD1E","PPP1R9A"
"LIFR","SMOC2","LIMS1","THSD7A","APCDD1L","NDFIP1","PPM1L","CEBPB","NDUFA2","MAFB","STK4","IL18","RGS9"
"RND1","PLEKHA4","N4BP2L2","PLCB1","CTSK","GHR","SEMA3D","NET1","GBGT1","OAF","RPS29","VAV3","RP11-439A17.7"
"SRSF3","FBLIM1","ARPC1B","TOX2","ITM2C","VEGFB","PID1","CRIP1","TCEB2","FN1","RPL28","ADAM8","CHKA"
"PNP","NCK2","MMP28","TIMP3","COL1A1","DPT","KIAA1755","MT-CO3","GDI2","PHLDA1","LCP2","VAV1","ZNF667"
"RPS15A","NTRK2","PDIA5","FN1","FAM114A1","PDGFRB","GREB1L","GJA4","UXT","EGR1","IL32","PHACTR1","LINC00511"
"TM4SF1","CNN1","FZD6","CYYR1","OSR2","PHGDH","FN1","DDIT3","DNAJC8","RGL1","SLAMF7","IRF8","STIP1"
"ITM2A","MIR143HG","ZNF521","GPRC5B","TRPS1","EFEMP2","TMEM237","RGS16","TMEM256","KCNQ1OT1","CD84","ALOX5","IRS2"
"RPS23","FILIP1L","TGFBR3","RAC1","CRIP1","NUPR1","SLIT2","MT-ND1","CCT7","FAM46C","A2M-AS1","IKZF1","PCBP4"
"SAT1","TRNP1","CFLAR","CCDC88C","FAM107B","LRRN3","CCDC141","MT-CO2","MRPL20","SHISA2","EVPL","BTK","MAFF"
"B2M","CSRP1","MLPH","CD34","LTBP4","ANPEP","CRTAC1","CALM2","COX5B","SORBS1","BIRC7","WDFY4","SPTBN4"
"CDC42EP3","SRPX","RASIP1","APOLD1","BICC1","CYBA","LOXL4","HEY2","UQCRQ","CDKN1C","FAM107B","MIR142","RP11-54O7.17"
"ELTD1","COL27A1","CARD8","ISG15","NOTCH2","FRMD6","C12orf75","RGS5","HEBP2","TOB1","SLFN12L","PKP2","GNG2"
"H2AFX","MAP7D3","MTUS1","UACA","SRPX2","OLFML3","NUPR1","RP11-91J3.3","CCNI","AC139100.2","GPRIN3","FERMT3","OTUD7B"
"DDX5","ARHGEF17","IL3RA","GIMAP1","BGN","DDR2","NNMT","BAMBI","MINOS1","DNAJA4","ICAM3","IFI30","RDH10"
"BCL3","LGALS1","TEK","USHBP1","ADAMTSL3","LAPTM4A","HOXC10","COL4A5","IK","RHOBTB3","SRGN","SCIMP","BZW2"
"MAFF","COL1A1","PXN","PLCG2","COMP","SCARF2","MAF","NDUFA4","ARHGDIB","MRC2","NUP210","CCL4L2","DEPDC7"
"NFKBIZ","ARID5B","FLNB","GPR56","DPYSL3","CD63","PRRX1","SEPT7","LINC00493","SNED1","ANKRD44","VMO1","LAMP5"
"RHOU","MYH11","RAPGEF3","PRKX","SH2D1A","MPZL1","ANXA1","NTRK2","PSMG2","S1PR3","TESPA1","CCL4","RP11-343N15.5"
"YBX3","MLTK","PPM1F","CXCL2","SERPINF1","NOTCH2NL","FGF7","RPPH1","SAT2","CITED2","MALAT1","CD68","LRRC4C"
"PCDH17","CCL21","CD109","CD93","FGFR1","TMEM176A","KIAA1377","FAM129A","CILP","FGL2","IL18RAP","ARHGAP9","MED12L"
"FOSB","GJC1","SSFA2","SLC12A2","CD99","IFI27L2","FGFRL1","FAM46C","TAX1BP3","MATN3","ADAM8","POU2F2","GRIN2B"
"SYT15","PDGFA","SYNGR2","PNP","WISP2","ECHDC2","TNC","C12orf57","ATP5L","PHGDH","RPL39","IGSF21","KCTD11"
"TXNIP","LINC00924","TSPAN9","TNFSF10","CD97","SCARA3","RECK","ZYX","ASPN","SOD3","TNFAIP8","SELPLG","FAM83H"
"HNRNPA2B1","DDR2","SH3BP5","SSFA2","MYADM","ST3GAL4","SELM","KANK2","IGFBP7","MTSS1","CALB2","CYTIP","FRMD5"
"TACSTD2","PLAU","CPLX1","NUDT14","AKR1C2","EPHA3","APOD","PDE5A","CHCHD1","PLXDC1","ARL4C","IL1R2","THSD7B"
