"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"BTG2","MDK","COL27A1",NA,"EEA1","RPS11","AMPD3","RASGRP3"
"MAN2C1","CCND1","SELENOM",NA,"CAMK2N1","FADS3","ALCAM","ITPRID2"
"SPTBN1","ISLR","ANGPTL2",NA,"SYCE1L","CDKN1A","ATP5F1E","MT-CO1"
"EHBP1L1","RBX1","FBXO30",NA,"IFITM2","PPP1R12A","CDC42EP3","EPAS1"
"MIDN","CD151","FNDC1",NA,"CLEC3B","ECE1","SH2B3","HLA-C"
"LAMB2","TSPAN2","BDKRB1",NA,"BICC1","ADCY3","THBD","DOCK6"
"CHAD","NDUFA11","KDM7A",NA,"DDAH2","IFI16","PFN1","RHOJ"
"METTL7A","COX6C","SLC16A3",NA,"XG","PDLIM7","DUSP6","BST2"
"DNM1","SDC2","NCOA7",NA,"TMA7","GPRC5C","LYN","CRIP2"
"ANK3","COX7A2","BPGM",NA,"COX4I1","UTRN","CTSD","MEF2C"
"SFRP4","NDUFA4","PAPPA",NA,"HSPE1","SLC25A25","KCNAB2","TCF4"
"PACS2","COX6B1","PDPN",NA,"CRISPLD1","AMOTL2","FGL2","MT-ND2"
"GIGYF1","NDUFS5","SAT1",NA,"THBS4","ZNF703","PRDM1","BCR"
"IFRD1","SUMO2","RGS2",NA,"PDGFRA","MT-ND5","FAM49B","LAMA5"
"WWP2","IFI6","OGN",NA,"CPQ","ADGRA2","RIN3","BTN3A3"
"BHLHE40","MRPL41","GAS1",NA,"HIGD2A","IFITM3","RNASET2","EEF1A1"
"TSKU","SMOC1","CSF1",NA,"CXCL1","BRD2","TNFRSF1B","PXN"
"FAM180B","OGN","IER3",NA,"PRRX1","JUND","ZC3H12C","DAAM1"
"CYGB","ENSG00000166147","MT2A",NA,"ZNF703","RPL23","MMP19","HLA-F"
"STARD9","AP2S1",NA,NA,"ENAH","NR4A3","MT-CO3","RALGDS"
"ADRB2","GPX4",NA,NA,"CTSK","CYGB","MT-ND3","FILIP1"
"PDGFRB","NEDD8",NA,NA,"FCGRT","WTIP","ACTB","RPS28"
"CYB5R3","ATP5MC3",NA,NA,"CTHRC1","SLIT3","OAZ1","ARHGAP27"
"HNRNPH3","ENSG00000229807",NA,NA,"TNFAIP2","C20orf27","CTSH","NR2F2"
"TUBA1A","COX8A",NA,NA,"SSPN","ARHGAP1","AP1S2","FKBP1A"
"EBF1","NUCB2",NA,NA,"TUBB2B","THY1","SLC43A2","ADGRG1"
"WEE1","C1orf122",NA,NA,"OSR2","MT-ND4L","GPNMB","PGM5"
"DPYSL2","MYDGF",NA,NA,"NFIB","AKAP1","DAB2","MT-CO3"
"ZFAND5","MAP7D3",NA,NA,"SGCE","GNAS","REL","SOCS3"
"NR4A2","ATP5MD",NA,NA,"ISG15","TMSB10","ATP2B1","MT-ND4"
"TNS2","LAMTOR4",NA,NA,"LY6E","MYO1B","SGK1","ST6GAL1"
"SCAF1","NDUFA12",NA,NA,"IFI6","FXYD1","S100A6","DUSP6"
"SIK1","ADAMTS2",NA,NA,"C6orf48","KLF11","MT-ND2","IFITM3"
"SF3B1","PGAM1",NA,NA,"SPON2","RGS16","LY96","TSPAN9"
"GPSM1","TMEM258",NA,NA,"ISCU","HNRNPDL","EMP3","DAB2IP"
"TRIM29","MTLN",NA,NA,"NUCKS1","ARID5A","INSIG1","TM4SF1"
"MEF2D","POLR2I",NA,NA,"FHL1","HNRNPH1","GLRX","MYO15B"
"ENSG00000258486","NDUFB3",NA,NA,"RPL22L1","OLFML2B","GRN","ARL15"
"ENSG00000266402","ANTXR1",NA,NA,"PTGFRN","EGR1","STX11","ICAM2"
"ASXL1","CLIC1",NA,NA,"OLFML2B","AHR","TMEM176A","STOM"
"H1FX","SELENOH",NA,NA,"MMP14","DTX3","HLA-B","FABP5"
"IRF2BP2","DRAP1",NA,NA,"PLPP1","PABPC1","CREG1","DOCK9"
"ECE1","MYL12B",NA,NA,"LIMA1","TRIM28","CLEC2B","HSPG2"
"SKIL","TMEM147",NA,NA,"PPIB","LBH","MT-ND1","CLIC2"
"SLC19A2","TMED3",NA,NA,"ENSG00000255198","SORBS1","TXN","PCDH17"
"ETS2","SNX3",NA,NA,"IFI27L2","ENSG00000179094","ENSG00000271614","EPHA2"
"GALNT15","SPCS1",NA,NA,"SEPT11","FABP5","MFSD1","NBEAL2"
"MYC","ATRAID",NA,NA,"FRMD6","HSP90AA1","BID","PKP4"
"APOE","HSBP1",NA,NA,"CTSF","SEPT7","RALGDS","LMO2"
"TUFT1","GADD45GIP1",NA,NA,"SMOC2","TLE1","PLEKHO1","MT-CYB"
"PABPC1","DYNLRB1",NA,NA,"SVIL","SRF","NAMPT","GSN"
"SLC29A1","RRBP1",NA,NA,"ENSG00000269893","NPIPB11","FCGRT","HHEX"
"NUMA1","ATP5MC2",NA,NA,NA,"CCNL1","PSAP","SPTBN1"
"TACC1","MRPL51",NA,NA,NA,"ROCK2","SDCBP","HEY1"
