p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
9.34701950285785e-12,1.63575522075147,1,1,1.68629578851059e-07,KO,Slc2a4
1.08507324908379e-11,0.865063252218159,1,1,1.95758064867207e-07,KO,Medag
1.11000323355653e-11,0.84122449437012,1,1,2.00255683365933e-07,KO,Col4a2
1.1352316848707e-11,-1.93165196842826,1,1,2.04807148267523e-07,KO,Cdc14a
1.21145761272926e-11,-1.04818143504122,1,1,2.18559067912485e-07,KO,Zfpm2
1.27870586808196e-11,-0.65178083160965,1,1,2.30691325660666e-07,KO,Ndufa4l2
1.39882150088134e-11,0.916091904952335,1,1,2.52361386974002e-07,KO,Kctd12
1.46534973808077e-11,-1.41119191274162,1,1,2.64363746247152e-07,KO,Ggt1
1.52988154686586e-11,0.742687173467435,1,1,2.76005929870071e-07,KO,2010111I01Rik
1.8639812718382e-11,-0.610478391818108,1,1,3.3628086125233e-07,KO,Bmp3
2.39252766336928e-11,1.03509888294578,1,1,4.31635915748452e-07,KO,Moxd1
2.72040420713079e-11,0.878575655300653,1,1,4.90788123008466e-07,KO,Egfl6
2.81872515115654e-11,2.2512917986065,1,1,5.08526204520151e-07,KO,Sypl2
2.95297860296998e-11,1.18487263295252,1,1,5.32746869761815e-07,KO,En1
2.9531310677033e-11,-1.45364654314938,1,1,5.32774375924353e-07,KO,Tnfrsf19
3.01700472189814e-11,0.924109379991952,1,1,5.44297821877644e-07,KO,Gal3st1
3.72347551943045e-11,-0.556443080933671,1,1,6.71752218460448e-07,KO,Eef2k
3.74675019580165e-11,-0.456356715404553,1,1,6.75951202824576e-07,KO,Slc16a1
4.10001044877431e-11,0.995410189388837,1,1,7.39682885063373e-07,KO,Lgals3
4.1158386678298e-11,1.07482417985651,1,1,7.42538454063174e-07,KO,Postn
5.09740486761723e-11,0.818063135278853,1,1,9.19622812166825e-07,KO,Atp1b2
5.26481092962812e-11,0.742775684865106,1,1,9.49824539814209e-07,KO,Fxyd1
5.93845363587359e-11,-0.702613106548828,1,1,1.07135642044795e-06,KO,Clmn
6.30173772686404e-11,0.862546455867465,1,1,1.13689650330354e-06,KO,Ackr3
7.07223369607982e-11,0.706163681354525,1,1,1.27590168110976e-06,KO,Cd9
8.04849490957252e-11,-0.727462847661428,1,1,1.45202896663598e-06,KO,Mrc1
9.26629782180811e-11,-1.21762913077342,1,1,1.6717327900324e-06,KO,Slc25a30
1.08213182964108e-10,1.06433097485705,1,1,1.95227403385548e-06,KO,Cpm
1.22633855286334e-10,0.699875881980937,1,1,2.21243738322075e-06,KO,Cyb5r3
1.27476131437361e-10,1.1901794821936,1,1,2.29979688726143e-06,KO,Fjx1
1.29093367806188e-10,-0.786736559767561,1,1,2.32897344859144e-06,KO,Tmem52
1.47324187979722e-10,-0.541549809195772,1,1,2.65787567534217e-06,KO,Mpp1
1.52360346217209e-10,1.69574481598847,1,1,2.74873300610467e-06,KO,Pdlim3
1.60834388938396e-10,0.849326944613985,1,1,2.90161321083761e-06,KO,Loxl1
1.61217563488695e-10,1.35264632700166,1,1,2.90852606289954e-06,KO,Hlf
1.72770209045071e-10,-2.05572501506252,1,1,3.11694734138213e-06,KO,Prr16
1.75837419027748e-10,-0.614253238090282,1,1,3.17228287667959e-06,KO,Mertk
1.93986995382314e-10,-0.820843907379972,1,1,3.49971938369234e-06,KO,Fam49a
2.04863792593443e-10,-1.3674614127868,1,1,3.69594768217831e-06,KO,Syt12
2.08060825971796e-10,-0.770336819251075,1,1,3.75362536135717e-06,KO,Tmem255b
2.41654786471649e-10,1.06820625464188,1,1,4.35969400273502e-06,KO,Nbl1
2.42289329877947e-10,-1.65822807660353,1,1,4.37114180032804e-06,KO,Il17re
2.59580458805309e-10,1.07067751133656,1,1,4.68309105730657e-06,KO,Synpo2
2.62815763324077e-10,-1.05656405242461,1,1,4.74145918612967e-06,KO,Pde1a
3.07790619184018e-10,0.913527294729037,1,1,5.55285056069887e-06,KO,Fam101b
3.19506204477525e-10,2.09074109693377,1,1,5.76421143497902e-06,KO,Xirp1
3.34283119779854e-10,1.53193435127924,1,1,6.03080176394834e-06,KO,Enox1
