"Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14"
NA,NA,NA,NA,NA,NA,NA,"NEURL1B","GGT5",NA,"COL14A1","H2AFZ","CD44",NA,"ANXA2"
NA,NA,NA,NA,NA,NA,NA,"SYNPO2","KHDRBS3",NA,"HSP90AA1","CCL2","BASP1",NA,"EGR3"
NA,NA,NA,NA,NA,NA,NA,"FHL2","NR4A2",NA,"PDGFA","TNFRSF10D","MRPS6",NA,"ATP1A2"
NA,NA,NA,NA,NA,NA,NA,"NAMPT","KLF6",NA,"DLC1","PLK2","TMSB10",NA,"STMN1"
NA,NA,NA,NA,NA,NA,NA,"CPE","ATP2B1",NA,"PEG10","GADD45A","GPC1",NA,"AL391121.1"
NA,NA,NA,NA,NA,NA,NA,"FXYD1","GAS6",NA,"PDE5A","EGFL7","FBN1",NA,"MIDN"
NA,NA,NA,NA,NA,NA,NA,"IGFBP5","PODN",NA,"HLA-B","CLDN5","CDKN2C",NA,"PELI1"
NA,NA,NA,NA,NA,NA,NA,"ENAH","KDM6B",NA,"KCNE4","EPAS1","SH3BGRL3",NA,"B4GALNT1"
NA,NA,NA,NA,NA,NA,NA,"PALLD","C3",NA,"CRYAB","KDM6B","ZEB2",NA,"ZFAND2A"
NA,NA,NA,NA,NA,NA,NA,"CCL8","TNXB",NA,"SDC2","FAM110D","HIST1H4C",NA,"EGR2"
NA,NA,NA,NA,NA,NA,NA,"GUCY1A2","FILIP1L",NA,"PAWR","NEURL1B","SLC16A3",NA,"CSRNP1"
NA,NA,NA,NA,NA,NA,NA,"LGI4","HSP90AA1",NA,"GLDN","KLF2","SDC2",NA,"CEBPB"
NA,NA,NA,NA,NA,NA,NA,"GUCY1B1","ZEB2",NA,"COL4A1","CSRP1","PIMREG",NA,"SEMA3C"
NA,NA,NA,NA,NA,NA,NA,"CLMN","ABL2",NA,"ZNF703","CCND1","PDPN",NA,"RDH10"
